UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 Sep20 ?        00:00:02 /sbin/init
root           2       0  0 Sep20 ?        00:00:00 [kthreadd]
root           3       2  0 Sep20 ?        00:00:00 [rcu_gp]
root           4       2  0 Sep20 ?        00:00:00 [rcu_par_gp]
root           6       2  0 Sep20 ?        00:00:00 [kworker/0:0H-events_highpri]
root           8       2  0 Sep20 ?        00:00:00 [mm_percpu_wq]
root           9       2  0 Sep20 ?        00:00:00 [rcu_tasks_kthre]
root          10       2  0 Sep20 ?        00:00:00 [rcu_tasks_rude_]
root          11       2  0 Sep20 ?        00:00:00 [rcu_tasks_trace]
root          12       2  0 Sep20 ?        00:00:03 [ksoftirqd/0]
root          13       2  0 Sep20 ?        00:00:19 [rcu_preempt]
root          14       2  0 Sep20 ?        00:00:00 [rcub/0]
root          15       2  0 Sep20 ?        00:00:00 [rcuc/0]
root          16       2  0 Sep20 ?        00:00:00 [migration/0]
root          17       2  0 Sep20 ?        00:00:00 [idle_inject/0]
root          19       2  0 Sep20 ?        00:00:00 [cpuhp/0]
root          20       2  0 Sep20 ?        00:00:00 [cpuhp/1]
root          21       2  0 Sep20 ?        00:00:00 [idle_inject/1]
root          22       2  0 Sep20 ?        00:00:00 [migration/1]
root          23       2  0 Sep20 ?        00:00:00 [rcuc/1]
root          24       2  0 Sep20 ?        00:00:01 [ksoftirqd/1]
root          26       2  0 Sep20 ?        00:00:00 [kworker/1:0H-events_highpri]
root          27       2  0 Sep20 ?        00:00:00 [cpuhp/2]
root          28       2  0 Sep20 ?        00:00:00 [idle_inject/2]
root          29       2  0 Sep20 ?        00:00:00 [migration/2]
root          30       2  0 Sep20 ?        00:00:00 [rcuc/2]
root          31       2  0 Sep20 ?        00:00:03 [ksoftirqd/2]
root          33       2  0 Sep20 ?        00:00:00 [kworker/2:0H-events_highpri]
root          34       2  0 Sep20 ?        00:00:00 [cpuhp/3]
root          35       2  0 Sep20 ?        00:00:00 [idle_inject/3]
root          36       2  0 Sep20 ?        00:00:00 [migration/3]
root          37       2  0 Sep20 ?        00:00:00 [rcuc/3]
root          38       2  0 Sep20 ?        00:00:02 [ksoftirqd/3]
root          40       2  0 Sep20 ?        00:00:00 [kworker/3:0H-events_highpri]
root          41       2  0 Sep20 ?        00:00:00 [cpuhp/4]
root          42       2  0 Sep20 ?        00:00:00 [idle_inject/4]
root          43       2  0 Sep20 ?        00:00:00 [migration/4]
root          44       2  0 Sep20 ?        00:00:00 [rcuc/4]
root          45       2  0 Sep20 ?        00:00:02 [ksoftirqd/4]
root          47       2  0 Sep20 ?        00:00:00 [kworker/4:0H-events_highpri]
root          48       2  0 Sep20 ?        00:00:00 [cpuhp/5]
root          49       2  0 Sep20 ?        00:00:00 [idle_inject/5]
root          50       2  0 Sep20 ?        00:00:00 [migration/5]
root          51       2  0 Sep20 ?        00:00:00 [rcuc/5]
root          52       2  0 Sep20 ?        00:00:02 [ksoftirqd/5]
root          54       2  0 Sep20 ?        00:00:00 [kworker/5:0H-kblockd]
root          55       2  0 Sep20 ?        00:00:00 [cpuhp/6]
root          56       2  0 Sep20 ?        00:00:00 [idle_inject/6]
root          57       2  0 Sep20 ?        00:00:00 [migration/6]
root          58       2  0 Sep20 ?        00:00:00 [rcuc/6]
root          59       2  0 Sep20 ?        00:00:01 [ksoftirqd/6]
root          61       2  0 Sep20 ?        00:00:00 [kworker/6:0H-events_highpri]
root          62       2  0 Sep20 ?        00:00:00 [cpuhp/7]
root          63       2  0 Sep20 ?        00:00:00 [idle_inject/7]
root          64       2  0 Sep20 ?        00:00:00 [migration/7]
root          65       2  0 Sep20 ?        00:00:00 [rcuc/7]
root          66       2  0 Sep20 ?        00:00:01 [ksoftirqd/7]
root          68       2  0 Sep20 ?        00:00:00 [kworker/7:0H-events_highpri]
root          69       2  0 Sep20 ?        00:00:00 [cpuhp/8]
root          70       2  0 Sep20 ?        00:00:00 [idle_inject/8]
root          71       2  0 Sep20 ?        00:00:00 [migration/8]
root          72       2  0 Sep20 ?        00:00:00 [rcuc/8]
root          73       2  0 Sep20 ?        00:00:01 [ksoftirqd/8]
root          75       2  0 Sep20 ?        00:00:00 [kworker/8:0H-events_highpri]
root          76       2  0 Sep20 ?        00:00:00 [cpuhp/9]
root          77       2  0 Sep20 ?        00:00:00 [idle_inject/9]
root          78       2  0 Sep20 ?        00:00:00 [migration/9]
root          79       2  0 Sep20 ?        00:00:00 [rcuc/9]
root          80       2  0 Sep20 ?        00:00:04 [ksoftirqd/9]
root          82       2  0 Sep20 ?        00:00:00 [kworker/9:0H-events_highpri]
